Geno,Rep,LN,RL,SL,LA,SDW,RDW,LDW,TDW
13,4,5,18,6,41.47,0.06,0.054,0.134,0.248
14,1,5,18,6,25.67,0.052,0.033,0.104,0.189
14,2,5,12,6,27.5,0.035,0.028,0.09,0.153
14,3,6,13,4,30.4,0.023,0.047,0.09,0.16
14,4,6,19,4,34.8,0.049,0.047,0.11,0.206
15,1,7,16,5,51.24,0.042,0.076,0.123,0.241
15,2,6,15,6,92.11,0.035,0.069,0.167,0.271
15,3,6,13,4,15.01,0.021,0.28,0.067,0.368
15,4,5,20,6,68.22,0.064,0.079,0.17,0.313
16,1,6,12,6,12.05,0.014,0.018,0.06,0.092
16,2,5,14,5,28.85,0.033,0.026,0.099,0.158
16,3,6,13,6,9.14,0.016,0.015,0.047,0.078
16,4,7,13,7,9.42,0.018,0.014,0.032,0.064
17,1,5,12,4,14.69,0.015,0.014,0.054,0.083
17,2,6,13,5,47.44,0.039,0.059,0.145,0.243
17,3,4,8,3,16.24,0.022,0.015,0.052,0.089
17,4,5,11,11,33.4,0.02,0.016,0.051,0.087
18,1,8,14,15,30.94,0.128,0.0168,0.197,0.3418
18,2,8,8,8,54.51,0.084,0.041,0.165,0.29
18,3,8,21,10,48.05,0.067,0.028,0.091,0.186
18,4,6,1,9,44.5,0.122,0.035,0.11,0.267
19,1,9,12,10,32.04,0.058,0.022,0.101,0.181
19,2,8,15,9,40.2,0.047,0.029,0.094,0.17
19,3,6,12,10,50.48,0.99,0.039,0.124,1.153
19,4,7,20,7,51.22,0.069,0.033,0.117,0.219
20,1,9,18,11,48.4,0.082,0.035,0.136,0.253
20,2,8,13,5,61.5,0.009,0.008,0.037,0.054
20,3,9,21,11,81.61,0.098,0.046,0.152,0.296
20,4,6,14,11,80.9,0.106,0.031,0.174,0.311
21,1,7,20,14,48.2,0.075,0.025,0.116,0.216
21,2,8,18,12,70.42,0.092,0.034,0.118,0.244
21,3,9,16,11,88.2,0.06,0.026,0.118,0.204
21,4,8,16,14,140.02,0.147,0.061,0.223,0.431
22,1,7,13,11,60.76,0.057,0.025,0.074,0.156
22,2,8,14,12,48.7,0.06,0.016,0.074,0.15
22,3,8,18,5,70.71,0.031,0.01,0.083,0.124
22,4,8,12,8,61.7,0.075,0.037,0.117,0.229
23,1,8,11,6,40.42,0.02,0.012,0.124,0.156
23,2,8,14,8,180.2,0.099,0.052,0.19,0.341
23,3,8,16,7,80.7,0.061,0.052,0.219,0.332
23,4,8,11,4,70.7,0.038,0.021,0.093,0.152
24,1,9,12,6,80.22,0.069,0.019,0.119,0.207
24,2,6,14,6,140.2,0.025,0.026,0.101,0.152
24,3,8,15,3,144.8,0.059,0.055,0.0271,0.1411
24,4,6,14,7,80.2,0.045,0.027,0.085,0.157
